claim_number,email,phone_number,claim_date,cost
Z150570,JeanF9@gmail.com,(714) 323-3029,2018-05-01,115675
F394715,KoreyJ9@gmail.com,(552) 499-3446,2018-06-09,728596
V257036,FrankD9@gmail.com,(831) 611-3026,2018-02-15,0
L22005,EmmanuelC0@gmail.com,+1 (393) 940-2006,2018-12-03,426836
T486116,WillaJ3@gmail.com,(481) 510-5584,2018-01-09,0
T93733,EmanuelR9@gmail.com,(347) 425-1148,2018-06-25,0
W319742,RayleneN0@gmail.com,(237) 782-3957,2018-01-11,863855
J326397,CelesteJ1@gmail.com,(939) 421-6959,2018-12-18,0
A23856,LindaD7@gmail.com,(899) 683-6641,2018-06-17,797553
I301043,DavidP7@gmail.com,(238) 114-3181,2018-05-10,999999999999
H469049,RoyB0,(269) 560-1747,2018-09-07,894985
H225680,IdaE7@gmail.com,(815) 006-8300,2018-09-24,512130
L59423,ReneeC1@gmail.com,(791) 096-1951,2018-09-18,0
R94836,RobertR1@gmail.com,(958) 526-9385,2018-07-04,203405
N303691,AnnieJ2@gmail.com,(628) 846-8248,2018-04-26,113347
U129491,FlorC7@gmail.com,(935) 747-8432,2018-12-23,0
O275074,ElijahF9@gmail.com,+1 (296) 649-1497,2018-02-28,716026
G193986,FlorentinaA0@gmail.com,(130) 415-0707,2018-02-03,5365
S304319,ElmerM8@gmail.com,(548) 863-2191,2018-01-05,0
G287802,SaraM0@gmail.com,+1 (797) 893-4291,2018-12-21,567520
F339821,AndresE5@gmail.com,(746) 664-9350,2018-10-19,851331
E389536,JamesS7@gmail.com,(948) 302-4861,2018-04-14,202934
R489637,JesseJ1@gmail.com,+1 (914) 093-3205,2018-12-16,729742
E469686,YenC4@gmail.com,(181) 636-7318,2018-06-24,904711
C304596,JaneR6@gmail.com,(236) 052-9356,2018-04-08,706896
C121756,AliceW3@gmail.com,(426) 636-6447,2018-08-05,538007
Q140735,MinnieE5@gmail.com,(911) 009-1632,2018-10-01,873321
D467525,CristinaS3@gmail.com,(782) 683-2339,2018-06-08,699207
E94249,ErnestJ5@gmail.com,(632) 256-7588,2018-07-19,595718
F84394,LeonardD7@gmail.com,(315) 225-8705,2018-12-31,0
F101310,GailS5@gmail.com,(676) 790-5350,2018-08-19,497129
F417682,VirginiaA4@gmail.com,(806) 824-8870,2018-12-10,0
D28607,KeithS9@gmail.com,(485) 612-0935,2018-04-29,409798
B481327,DouglasR5@gmail.com,(553) 347-9064,2018-08-05,520523
F243784,VictorP8@gmail.com,(345) 699-8183,2018-11-13,307750
K46383,RitaB8@gmail.com,(371) 526-0145,2018-02-15,734697
M335217,NickE2@gmail.com,(694) 871-9853,2018-10-19,707553
C134008,JohnH1@gmail.com,(447) 099-7058,2018-05-05,72318
K357969,EmilyN5@gmail.com,(617) 174-9727,2018-01-14,464654
J110969,SharonZ5@gmail.com,(323) 558-3046,2018-01-30,333695
P65086,CharlotteL4@gmail.com,(298) 028-1325,2018-02-28,691992
G499295,ThanhB1@gmail.com,(198) 275-6451,2018-09-29,109459
Z390320,DerekG6@gmail.com,(895) 867-6687,2018-06-08,587291
D480107,MaryD8@gmail.com,(923) 814-9969,2018-09-09,602309
K164224,NicholasA0@gmail.com,(422) 356-7042,2018-07-23,436481
B221648,CallieJ9@gmail.com,+1 (563) 256-5576,2018-12-20,481756
D112612,CherylJ8@gmail.com,+1 (585) 895-7575,2018-08-17,510000
C252653,RebeccaB8@gmail.com,(186) 962-1669,2018-07-05,995007
O478761,VelmaD0@gmail.com,(550) 324-7842,2018-03-27,955769
E153984,JessicaP8@gmail.com,(751) 992-0275,2018-03-11,763899
V143294,JulieS6@gmail.com,(387) 837-5937,2018-08-04,0
Q224433,DorisM7@gmail.com,(255) 970-0109,2018-04-06,463150
G193381,LatonyaJ7@gmail.com,(235) 101-0818,2018-03-17,654280
Z414558,BrendaC1@gmail.com,(939) 337-4898,2018-08-07,772610
J381626,CarolD4@gmail.com,(246) 831-5330,2018-09-02,106683
M226762,WayneR6@gmail.com,(861) 909-4618,2018-06-16,638908
Z220948,JenniferD4@gmail.com,(697) 823-4780,2018-08-05,833621
E17511,KennethD2@gmail.com,+1 (944) 612-3457,2018-04-07,0
G135180,WilliamE5@gmail.com,(439) 908-3323,2018-03-17,278166
G329512,SophieC2@gmail.com,(549) 163-5651,2018-02-04,239581
R256996,DerickR7@gmail.com,(218) 872-4074,2018-05-21,0
V451027,CarolW0@gmail.com,(289) 022-2178,2018-05-15,0
W73796,ErmaH0@gmail.com,(104) 409-9146,2018-03-18,0
Y203566,DavidL8@gmail.com,(853) 114-4172,2018-09-24,719615
Q64003,AimeeP9@gmail.com,+1 (419) 069-3790,2018-10-29,542486
Z446190,CarlF5@gmail.com,(890) 440-8731,2018-08-03,221266
M440992,LeonaC6,(386) 452-8564,2018-05-08,40498
P1805,AnnA0@gmail.com,+1 (906) 953-4628,2018-03-29,267080
Y439884,MaryG3@gmail.com,(688) 744-6355,2018-02-14,0
B43150,ChristopherC4@gmail.com,(249) 372-6049,2018-09-08,0
A403463,JamesJ9@gmail.com,(352) 578-5995,2018-08-17,887633
F397889,NannieA9@gmail.com,+1 (365) 145-5112,2018-07-15,0
F73680,RobertS2@gmail.com,(900) 300-8211,2018-02-06,0
R326439,BarbaraR5@gmail.com,(769) 719-8221,2018-08-27,187825
P188119,AbigailS1@gmail.com,(246) 923-1435,2018-08-29,504096
I68806,BarbaraS1@gmail.com,(513) 655-4583,2018-03-15,0
I414219,DavidS8@gmail.com,(560) 695-7528,2018-11-24,0
G100635,AudreyE8@gmail.com,(516) 747-0666,2018-11-09,728948
T343757,TamaraN5@gmail.com,(351) 128-4712,2018-11-24,0
I14411,TheresaC1@gmail.com,(187) 140-4851,2018-01-10,917334
Q414607,DavidM3@gmail.com,(770) 262-5675,2018-02-25,889230
B57963,LisaC2@gmail.com,(372) 581-5029,2018-11-18,644173
X194346,WillieW3@gmail.com,(665) 649-1669,2018-04-12,618893
L227795,RafaelR1@gmail.com,(174) 514-7140,2018-03-09,303660
D322241,AntonioC9@gmail.com,(359) 352-9852,2018-07-25,273984
G159247,HelenJ6@gmail.com,(503) 331-5716,2018-05-03,0
Q369850,GeorgeJ0@gmail.com,(611) 452-9963,2018-10-19,12670
L309794,MaryM1@gmail.com,(392) 602-6747,2018-09-04,880984
J310233,MargaretJ2@gmail.com,(232) 534-6311,2018-05-29,766431
Y275985,EricA3@gmail.com,(398) 207-1282,2018-02-27,457130
Z359668,ScottP8@gmail.com,(683) 927-8332,2018-06-23,0
W422133,BrandiS9@gmail.com,(890) 145-1662,2018-09-26,0
U309821,KathleenC1@gmail.com,+1 (112) 111-0387,2018-03-31,951068
T470815,AltheaJ4@gmail.com,(469) 939-0299,2018-04-02,482807
T60372,VanessaW2@gmail.com,(322) 037-6517,2018-02-17,664063
Q391112,WilliamJ5@gmail.com,(716) 851-6693,2018-04-22,0
T266750,KarlJ0@gmail.com,(149) 050-0528,2018-03-13,618298
J456931,AntoinetteL0@gmail.com,+1 (889) 850-9435,2018-02-28,481378
Y256435,TonyM8@gmail.com,(779) 165-0789,2018-08-24,881765
Q215319,GertieK0@gmail.com,(124) 955-6369,2018-07-26,0
O57640,HowardG9@gmail.com,(844) 449-9239,2018-10-01,253184
G475308,CarolB0@gmail.com,(697) 966-5604,2018-01-13,867082
P337780,JamesG1@gmail.com,(361) 575-0473,2018-08-15,0
Y25958,MargaretaS7,(628) 348-1843,2018-04-06,524029
U280212,FrancesB8@gmail.com,(971) 332-9578,2018-08-30,888291
J110549,DavidA1@gmail.com,(643) 379-3590,2018-09-27,0
B421324,RodneyS3@gmail.com,(193) 344-2901,2018-05-21,0
W141622,AmandaH2@gmail.com,(894) 907-0123,2018-09-22,26142
L284065,HeatherD1@gmail.com,(271) 331-4473,2018-03-13,0
W204008,RitaJ6@gmail.com,(649) 188-5068,2018-04-15,143871
X175376,NoemiE0@gmail.com,(837) 206-1257,2018-03-19,553501
N177522,EdithT4@gmail.com,(321) 201-3511,2018-08-18,11912
F342374,BerthaJ6,(417) 406-6682,2018-09-11,0
U486010,DanielL4@gmail.com,(548) 180-7242,2018-04-08,272275
A431923,VirginiaJ8@gmail.com,(276) 994-5721,2018-11-28,987470
C294437,EmilyH6@gmail.com,(815) 471-9076,2018-08-26,161337
R241916,DessieM1@gmail.com,(776) 244-9903,2018-06-12,131264
G351105,RobertL9@gmail.com,(608) 465-2994,2018-03-29,0
Z143603,WilliamM9@gmail.com,(259) 138-4536,2018-10-01,906910
B322837,PennyA8@gmail.com,(130) 393-0178,2018-08-28,0
T318475,SandraJ2@gmail.com,(529) 290-3110,2018-05-11,926944
K104764,MariaJ5@gmail.com,(820) 321-3040,2018-01-17,328582
W23922,MildredJ5@gmail.com,(200) 397-2587,2018-11-05,0
W237030,CarolY9@gmail.com,(690) 749-4425,2018-01-23,906935
K236825,BernardH4@gmail.com,(460) 326-3053,2018-07-11,84866
A56920,NichelleT1@gmail.com,(732) 246-0057,2018-06-25,36727
S352847,GeraldL2@gmail.com,(368) 171-4860,2018-01-09,258727
Z235859,HattieE5@gmail.com,(700) 639-0354,2018-02-03,866066
S262304,JordanC6@gmail.com,(891) 810-4158,2018-03-27,975691
S62408,AnneC3,(314) 906-7278,2018-12-18,718245
D122327,PeterA7@gmail.com,(472) 909-6611,2018-03-20,246444
G242778,WillieK5@gmail.com,(575) 727-2146,2018-10-14,358278
J397260,FannieT3@gmail.com,(257) 060-1909,2018-07-24,877850
S465683,MarianelaE8@gmail.com,(748) 502-7781,2018-06-20,588483
N461314,PatrickJ8@gmail.com,(799) 950-8148,2018-02-03,689016
W20729,LeighW0@gmail.com,(673) 528-9370,2018-10-16,505160
H103972,MatthewL9@gmail.com,(652) 212-1137,2018-08-20,521171
T330602,ChristiK1@gmail.com,(755) 530-8698,2018-05-30,0
K307195,RuthC1@gmail.com,(333) 575-8799,2018-04-09,420716
S357309,TrudyC8@gmail.com,+1 (769) 365-9648,2018-03-31,554602
L3912,NoraK2@gmail.com,+1 (676) 774-6025,2018-08-13,284512
A455426,BillyC8@gmail.com,(447) 024-4199,2018-06-24,111483
G226104,CharlieK1@gmail.com,(698) 967-2786,2018-12-18,640144
A396265,AdrianeW7@gmail.com,(937) 802-9135,2018-03-02,524246
F211747,KarenM2@gmail.com,(679) 686-3976,2018-03-03,727500
F213352,NancyD0@gmail.com,(645) 824-0881,2018-12-26,0
W35904,StevenR7@gmail.com,(574) 876-9539,2018-08-02,883546
W92401,WilliamK7@gmail.com,(177) 817-8055,2018-09-16,0
G49548,ChristopherA1@gmail.com,(347) 301-0470,2018-12-06,177921
S148655,DonaldB5@gmail.com,+1 (718) 366-0377,2018-09-20,351339
F272766,FredrickK8@gmail.com,(880) 418-7221,2018-03-09,754025
A234546,TiffanyD8@gmail.com,(589) 027-7731,2018-07-15,999999999999
C363945,LeonardB3@gmail.com,(724) 714-7773,2018-08-21,0
Z569,CarlosP9@gmail.com,(735) 136-0575,2018-11-24,291077
D288121,HollyK1@gmail.com,+1 (815) 265-5379,2018-12-23,293641
K254570,RonaldL3@gmail.com,(144) 590-5797,2018-05-11,163797
W473817,DianeG0@gmail.com,(950) 195-5819,2018-04-20,960026
P476899,MariaP9@gmail.com,(516) 502-5978,2018-04-03,662545
V16607,MariaY1@gmail.com,(588) 867-1424,2018-03-21,0
U487031,ClintonN6@gmail.com,(349) 999-9024,2018-05-03,387259
C7528,RoseK7@gmail.com,(620) 951-3007,2018-06-22,150800
V372337,LillianE7@gmail.com,(476) 991-0432,2018-11-28,727746
H224596,GeorgeJ5@gmail.com,(509) 500-9134,2018-12-29,0
O221983,RoyR5@gmail.com,(927) 821-9862,2018-03-14,936737
R2577,BarbaraC4@gmail.com,(533) 259-1158,2018-05-19,0
E113657,MargaretW6,(981) 671-5433,2018-09-30,965558
E326689,TerranceJ7@gmail.com,+1 (222) 871-7221,2018-03-15,910421
Y170572,DarlaT8@gmail.com,(246) 681-5450,2018-09-13,575039
R158826,BobbyR3@gmail.com,+1 (410) 259-4998,2018-01-30,0
Z229785,JamesC8,(459) 723-1868,2018-11-15,999999999999
G107555,RichardD7@gmail.com,(561) 314-3776,2018-02-18,741990
S108054,LillieR7@gmail.com,(251) 495-4728,2018-06-29,0
H221944,SusieT7@gmail.com,(587) 383-0952,2018-04-15,0
H252536,JeffreyM2@gmail.com,(446) 821-6685,2018-12-21,516895
Q429569,CarmenT2@gmail.com,(953) 850-4866,2018-07-25,553294
I148413,ConnieS3@gmail.com,(464) 184-7616,2018-10-20,451504
C134068,WilliamJ5@gmail.com,(715) 370-6531,2018-11-29,297209
W259330,RogerM9@gmail.com,+1 (359) 777-8482,2018-11-05,700239
G228437,CarolA8@gmail.com,(871) 837-9503,2018-02-12,0
D295653,MauriceW4@gmail.com,(144) 072-2414,2018-04-17,270074
S58528,GlennJ7@gmail.com,(562) 566-6525,2018-09-04,338623
B494416,SharonM6@gmail.com,(884) 680-8226,2018-11-08,688481
V357344,DavidJ0@gmail.com,(859) 760-1730,2018-01-07,295840
W145864,JamesJ4@gmail.com,(947) 231-1398,2018-10-17,0
X28792,PhillipJ0@gmail.com,(120) 523-3674,2018-05-20,891851
K137224,JamesT3@gmail.com,+1 (168) 735-8433,2018-08-26,731466
K398111,MatthewN1@gmail.com,(114) 838-7615,2018-03-27,731524
W292738,ValerieJ5@gmail.com,(877) 044-2197,2018-10-28,148374
D394882,RichardJ9@gmail.com,(235) 052-4777,2018-01-25,0
E425500,ElizabethJ2@gmail.com,(606) 894-4833,2018-04-07,110871
T328895,JoseJ0@gmail.com,(503) 685-4478,2018-03-21,455244
L474443,DeborahJ4@gmail.com,(651) 504-3786,2018-09-11,62449
G105308,VickieS6@gmail.com,(905) 239-8156,2018-02-27,251789
Z105719,JulieJ1@gmail.com,(518) 552-9886,2018-11-03,0
A400462,MariaA3@gmail.com,(634) 413-5838,2018-01-18,0
D279766,TracieL5@gmail.com,(699) 720-2096,2018-05-04,193147
W291132,MeganM6@gmail.com,(653) 021-1815,2018-10-05,0
R54959,WayneJ3@gmail.com,(600) 808-3398,2018-09-23,879988
Q27624,DianaA2@gmail.com,(271) 996-2372,2018-01-07,438845
K247828,GeneM4@gmail.com,(702) 094-7491,2018-04-23,724098
T487023,PaulC2@gmail.com,(490) 021-9014,2018-12-27,640116
U59193,JoeJ9@gmail.com,(592) 473-6737,2018-07-17,994364
R169799,SoniaK9@gmail.com,(634) 390-1548,2018-12-18,502519
X176620,PatriciaL9@gmail.com,(345) 408-1172,2018-07-22,548197
Q115069,AaronS2@gmail.com,(834) 561-3685,2018-08-21,172587
T120867,MckenzieA5@gmail.com,(726) 162-4184,2018-05-20,0
M387408,JordonJ4@gmail.com,+1 (872) 494-1204,2018-07-19,0
Y158520,StevenA9@gmail.com,(973) 375-8413,2018-01-25,886271
Q253421,LuzR0@gmail.com,(552) 659-5448,2018-08-15,168484
L163400,WilliamJ1@gmail.com,(951) 638-0240,2018-02-21,239825
V32450,JohnL6@gmail.com,(429) 177-9087,2018-10-01,0
G21324,EmelyV7@gmail.com,+1 (929) 919-7272,2018-01-28,76123
F95265,DawnM5@gmail.com,(550) 166-9753,2018-07-29,174443
S345692,TrishaR9,(834) 056-9923,2018-12-08,318110
Z374138,NicholasL7@gmail.com,+1 (524) 283-0965,2018-08-05,353700
E247623,MaureenE4@gmail.com,(395) 421-3046,2018-09-10,243439
T272122,AdamE2@gmail.com,(934) 120-1287,2018-01-05,75908
M293590,NormaD3@gmail.com,(971) 714-6526,2018-01-05,597874
S239853,RolandD6@gmail.com,(163) 685-4452,2018-07-03,0
W155024,AdrienneT5@gmail.com,(149) 376-9797,2018-03-13,328051
F166143,ScottR8@gmail.com,(180) 827-4450,2018-04-16,0
O481173,CorineF8@gmail.com,(293) 989-1221,2018-04-25,636427
I77604,MaryW8@gmail.com,(276) 154-7380,2018-04-30,305789
J170240,CarsonA6@gmail.com,(252) 039-8663,2018-07-05,0
G22963,JamesL4@gmail.com,(182) 409-7957,2018-01-08,222660
Z218554,MartaR7@gmail.com,(494) 286-8865,2018-11-14,642476
E223177,MichaelD3@gmail.com,(664) 368-4792,2018-06-04,0
Z298746,BeatriceR5@gmail.com,(248) 573-5452,2018-12-16,0
X458966,LeonardB4@gmail.com,(985) 550-8548,2018-01-01,187161
S91330,DwightA3@gmail.com,(116) 279-1067,2018-08-07,0
P272221,FrankC1@gmail.com,(253) 848-1992,2018-09-05,0
Z344617,RhondaR6@gmail.com,(612) 998-5915,2018-05-12,0
O127277,LynnA7@gmail.com,(530) 490-5005,2018-07-29,159382
D362675,JaneA9@gmail.com,(351) 698-1795,2018-01-08,511078
M317033,MartinA3@gmail.com,(357) 332-1071,2018-08-20,621939
M116294,KarenH1@gmail.com,(164) 820-0097,2018-10-15,38272
S437717,EmanuelS3@gmail.com,(721) 755-2337,2018-11-05,0
B204762,StanleyG4@gmail.com,(343) 377-0346,2018-08-04,99524
T449277,PatrickD9@gmail.com,(169) 520-2527,2018-11-15,0
T190853,ScottJ8@gmail.com,(257) 055-0669,2018-06-07,0
Y210974,JuanM1,(578) 297-9240,2018-08-22,523404
I116802,MarkJ0@gmail.com,(608) 469-5919,2018-01-12,463639
F433568,AdamD9@gmail.com,(473) 313-7618,2018-01-12,59051
T5734,MarianV2@gmail.com,(106) 376-6309,2018-08-22,469437
N7237,MichaelW8@gmail.com,(572) 120-7402,2018-12-13,688029
F3516,LawrenceN5,(996) 392-3497,2018-07-06,119182
I188542,SheilaT4@gmail.com,(489) 279-2220,2018-07-28,937852
M68603,LeslieN7@gmail.com,(658) 246-2956,2018-01-17,630738
U37731,LutherC1@gmail.com,(389) 253-8093,2018-09-09,200671
W298332,AshleeS8@gmail.com,(378) 196-7939,2018-10-08,776731
S383318,ThomasS3@gmail.com,(803) 967-9917,2018-12-29,486087
B344288,TommyA9@gmail.com,(157) 772-4471,2018-02-11,0
W305835,EdgarC7@gmail.com,(605) 818-1151,2018-10-06,0
Y192582,TheresaT4@gmail.com,(487) 052-1911,2018-05-28,760135
Z498208,VirgilH5@gmail.com,(517) 356-5395,2018-02-26,819865
A136498,KarlS2@gmail.com,(162) 823-2157,2018-02-21,664033
D244236,PeterA0@gmail.com,(883) 426-4952,2018-06-03,522330
N356031,WesleyF3@gmail.com,(219) 333-5938,2018-04-15,514290
N195905,JeanK0@gmail.com,(984) 595-8073,2018-03-29,403749
V44631,CindyS4@gmail.com,(301) 175-6702,2018-12-19,206265
D228321,LanceK3@gmail.com,(184) 357-1029,2018-02-11,252467
Y68745,MelvinC1,(586) 809-3768,2018-05-09,99874
X16739,LauraS9@gmail.com,(909) 254-6505,2018-05-06,0
U231879,SteveW4@gmail.com,(854) 577-0781,2018-05-05,624708
P194407,MaryL4@gmail.com,(993) 905-1624,2018-06-24,679109
V291423,SondraS1@gmail.com,(376) 842-7498,2018-06-19,221699
R78245,NellC2,(702) 296-5769,2018-03-31,148000
E431996,PaulN2@gmail.com,(189) 574-8783,2018-04-22,655841
T184259,PamelaJ0@gmail.com,(843) 802-5514,2018-04-07,736552
I386514,BobbieD2@gmail.com,(791) 053-2772,2018-08-28,962105
S435640,VioletG7@gmail.com,(250) 248-1553,2018-11-29,109753
O476964,KimC9@gmail.com,(184) 950-5638,2018-02-02,656942
